State_Name,Constituency_Name,Year,Ref_Candidate,Ref_Party,Ref_Votes,Ref_Vote_Share,Similarity_BiSim,Similarity_JW,Similarity_Dice,Weighted_Similarity,Algorithm_Disagreement,Confidence_Score,Dummy_Candidate,Dummy_Party,Dummy_Votes,Dummy_Vote_Share,Is_Major
Andaman_&_Nicobar_Islands,ANDAMAN & NICOBAR ISLANDS,1984,K.KANDASWAMY,LKD,27883,0.3134048197104577,0.75,0.9444444444444444,0.9,0.8188888888888889,0.01944444444444444,0.7884232148621023,KANDASWAMY,IND,505,0.00567619818361658,TRUE
Andhra_Pradesh,HINDUPUR,1962,K.V. RAMAKRISHNA REDDY,INC,89521,0.00783975001355214,0.8571428571428571,0.968253968253968,0.8947368421052632,0.8868838763575605,0.0111111111111111,0.6791417287365763,K. RAMAKRISHNA REDDY,IND,20199,0.00176891579097351,TRUE
Andhra_Pradesh,NARASAPUR,1962,POLISETTY VENKATASUBBARAO,SWA,3722,3.2595200623810136e-4,0.66,0.6651851851851851,0.625,0.650537037037037,0.00401851851851851,0.5930878888705535,VEDANTHAM VENKATASUBBARAO,IND,315,2.7585943569318092e-5,TRUE
Andhra_Pradesh,CHITTOOR,1967,P. V. NAIDU,SWA,20979,0.00119683814291613,0.7777777777777778,0.9259259259259258,0.75,0.799074074074074,0.01759259259259258,0.7551183908122637,P. M. NAIDU,IND,799,4.5582424147480306e-5,TRUE
Andhra_Pradesh,PRATHIPAD,1967,M. C. NAGAIAH,SWA,26361,0.00150387770081568,0.6818181818181818,0.9023569023569024,0.8888888888888888,0.7673400673400672,0.022053872053872062,0.7331947434114559,C. NAGAIAH,IND,605,3.451485182631488e-5,TRUE
Andhra_Pradesh,KHAMMAM,1967,M. K. RAO,CPM,89206,0.0050891435901128,0.7142857142857143,0.9047619047619048,0.6666666666666666,0.738095238095238,0.02380952380952381,0.7143829820787808,M. L. RAO,IND,760,4.335749981487488e-5,TRUE
Andhra_Pradesh,NAGARKURNOOL,1967,K. J. REDDY,INC,17498,9.982493838956326e-4,0.6111111111111112,0.8518518518518517,0.625,0.6620370370370371,0.02407407407407406,0.6086580010476604,Y. P. REDDY,IND,1014,5.784803264774097e-5,TRUE
Andhra_Pradesh,JANGAON,1967,E. N. REDDY,CPM,17174,9.797653971324492e-4,0.6111111111111112,0.8042328042328042,0.625,0.6525132275132276,0.0193121693121693,0.6007137383669717,C. R. REDDY,IND,1052,6.001590763848471e-5,TRUE
Andhra_Pradesh,MIRYALGUDA,1967,T. C. K. REDDY,INC,21090,0.00120317061986277,0.5909090909090909,0.8303872053872052,0.7777777777777778,0.6761784511784512,0.02394781144781143,0.5784652050710017,Y. K. REDDY,BJS,2605,1.4861353554966985e-4,TRUE
Andhra_Pradesh,NALGONDA,1967,P. R. REDDY,CPI,4347,2.47993489072712e-4,0.7777777777777778,0.8842592592592592,0.75,0.7907407407407406,0.01342592592592592,0.5407210854544531,P. C. REDDY,BJS,1334,7.610382204347776e-5,TRUE
Andhra_Pradesh,ADILABAD,1967,D.S. RAO,CPI,86244,0.00492016343951851,0.5714285714285714,0.9047619047619048,0.8,0.6838095238095239,0.03333333333333334,0.4852845533123813,D. RAO,IND,22928,0.00130802731020454,TRUE
Andhra_Pradesh,DEVARKONDA,1967,P. P. REDDY,CPI,10441,5.956521783777746e-4,0.6111111111111112,0.8518518518518517,0.625,0.6620370370370371,0.02407407407407406,0.4819289202152169,D. D. REDDY,IND,2653,1.5135190395903036e-4,TRUE
Andhra_Pradesh,VISAKHAPATNAM II,1967,P. M. NAIDU,INC,11246,6.41576898576425e-4,0.6111111111111112,0.8518518518518517,0.625,0.6620370370370371,0.02407407407407406,0.4181891703546111,T. Y. NAIDU,IND,3967,2.2631473916527456e-4,TRUE
Andhra_Pradesh,NALGONDA,1967,P. R. REDDY,CPI,4347,2.47993489072712e-4,0.6111111111111112,0.8042328042328042,0.625,0.6525132275132276,0.0193121693121693,0.3650750444745696,A. Y. REDDY,IND,1867,1.0651112125575186e-4,TRUE
Andhra_Pradesh,JANGAON,1967,G. G. REDDY,CPI,2331,1.329820158795702e-4,0.6111111111111112,0.8042328042328042,0.625,0.6525132275132276,0.0193121693121693,0.35111418646387577,C. R. REDDY,IND,1052,6.001590763848471e-5,TRUE
Andhra_Pradesh,ALAIR,1967,A. P. REDDY,INC,22404,0.00127813345506902,0.6111111111111112,0.8518518518518517,0.625,0.6620370370370371,0.02407407407407406,0.3355078122990971,Y. N. REDDY,IND,10770,6.144214118502664e-4,TRUE
Andhra_Pradesh,JANGAON,1967,L. R. REDDY,SWA,1895,1.0810850282787882e-4,0.7222222222222222,0.9259259259259258,0.75,0.7685185185185185,0.02037037037037036,0.33491500808929714,C. R. REDDY,IND,1052,6.001590763848471e-5,TRUE
Andhra_Pradesh,CHALAKURTHI,1967,M. A. REDDY,CPM,7343,4.1891331729029775e-4,0.7777777777777778,0.9259259259259258,0.75,0.799074074074074,0.01759259259259258,0.31900975182919183,M. M. REDDY,BJS,4359,2.4867808117505215e-4,TRUE
Andhra_Pradesh,MIRYALGUDA,1967,C. V. REDDY,CPI,5095,2.906663967852468e-4,0.6111111111111112,0.8518518518518517,0.625,0.6620370370370371,0.02407407407407406,0.3157579548253957,Y. K. REDDY,BJS,2605,1.4861353554966985e-4,TRUE
Andhra_Pradesh,CHALAKURTHI,1967,G. S. REDDY,INC,5378,3.068113605321015e-4,0.6111111111111112,0.8518518518518517,0.625,0.6620370370370371,0.02407407407407406,0.12242004303209592,M. M. REDDY,BJS,4359,2.4867808117505215e-4,TRUE
